Name,1,2,3,5,1_1,6,7,7b,19,21a,21b,21c,Tested By,Known Issues
America’s Army: Rise of a Soldier,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,Unknown,None
AMF Bowling 2004,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,unplayable,Unknown,None
AMF Xtreme Bowling 2006,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,intro,Unknown,None
Amped 2,untested,untested,supported,untested,untested,untested,playable,untested,untested,untested,untested,unplayable,Unknown,None
Amped: Freestyle Snowboarding,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Madmanjazza,Choppy framerate and slowdowns
And 1 Streetball,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Angelic Concert,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,in-game,Broken Scholar,Playable with minor artifacts on some character portraits and black tiling causing some non-dialogue text to display incorrectly (albeit still legible).
Animaniacs: The Great Edgar Hunt,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,playable,"Unknown, Persephone the Sheep",None
Aoi Namida,untested,untested,untested,untested,untested,untested,unplayable,untested,untested,untested,untested,untested,Imadummy,Hangs to black screen
Antz: Extreme Racing,menus,in-game,in-game,in-game,menus,in-game,in-game,in-game,untested,untested,untested,playable,"ItsAshleyFTW, willindiana, Sunnie64","Menus are broken with the hud over a black screen, issues seem to be fixed on xefu2021c"
Apex,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,Unknown,None
Aquaman: Battle for Atlantis,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Arctic Thunder,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,menus,Unknown,Xbox game encountered error
Area 51,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,untested,untested,untested,in-game,willindiana,Sever texture issues
Arena Football,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,Unknown,None
Armed and Dangerous,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,unplayable,Unknown,None
Army Men: Major Malfunction,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,untested,untested,untested,untested,willindiana,Severe texture issues with black sections covering the screen
Army Men: Sarge’s War,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Arx Fatalis,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,unplayable,"Unknown, Persephone the Sheep",None. On xefu2021c game crashes to dashboard on launch.
Atari Anthology,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,Unknown,None
ATV Quad Power Racing 2,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
ATV3: Lawless,untested,untested,untested,untested,untested,untested,unplayable,untested,untested,untested,untested,untested,szymmirr,Crashes on Xbox logo
Auto Modellista,playable,playable,playable,playable,playable,playable,supported,untested,untested,untested,untested,unplayable,Morrigan0001,None
Avatar: The Last Airbender,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,"Unknown, Persephone the Sheep","None. On xefu2021c Snow particles are broken in cutscenes and don't render in game, fire effects don't render correctly."
Azurik: Rise of Perathia,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,menus,Unknown,Freezes after loading screen
Backyard Wrestling 2: There Goes the Neighborhood,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,playable,"Unknown, Noeferna","None. playable, using Xefu7"
Backyard Wrestling: Don’t Try This at Home,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,unplayable,"Unknown, Noeferna","None. playable, using Xefu7"
Bad Boys: Miami Takedown,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Baldur’s Gate: Dark Alliance,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,Unknown,FPS slowdowns in some areas
Baldur’s Gate: Dark Alliance II,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,Will freeze to black screen if you skip initial FMV too quickly
Barbarian,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Barbie Horse Adventures: Wild Horse Rescue,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Bass Pro Shops: Trophy Bass 2007,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,Unknown,None
Bass Pro Shops: Trophy Hunter 2007,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,Unknown,None
Batman Begins,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Batman: Dark Tomorrow,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,in-game,"@oreos420#6530, ItsAshleyFTW, Dominater01",Game seems to run faster than normal speed.
Batman: Rise of Sin Tzu,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,unplayable,"/u/maty15987, Dominater01",Framerate issues
Batman: Vengeance,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,untested,untested,untested,unplayable,"willindiana, Dominater01",Xbox encountered error
Battle Engine Aquila,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Battlefield 2: Modern Combat,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Battlestar Galactica (2003),supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Beat Down: Fists of Vengeance,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,playable,Morrigan0001,None
Beyond Good & Evil,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,in-game,in-game,unplayable,untested,untested,unplayable,"/u/Falco1211, willindiana, LazyIllusion, Morrigan0001","Screen flashes black constantly during cutscenes and gameplay, screen frozen with audio still playing when the pig shows up, Characters have weird texture issue on their heads"
Bicycle Casino,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,intro,Unknown,Xbox encountered error
Big Bumpin’,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,Broken graphics
Big Mutha Truckers,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,/u/maty15987,Slow loading
Big Mutha Truckers 2,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,dominater01,No music?
Bionicle,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,unplayable,"/u/maty15987, dominater01",None
Bistro Cupid,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,playable,Broken Scholar,None
Bistro Cupid 2,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,in-game,Broken Scholar,"Severe drop shadow corruption causing character portraits to be isolated in black boxes. Additional black corruption appears on various portions of characters animations and still frames. Almost always present, technically playable but with overall major rendering issues for most of the game."
Black,in-game,in-game,supported,playable,in-game,playable,playable,playable,untested,untested,untested,playable,"/u/maty15987, OddbOd, dominater01",None
Black Stone: Magic & Steel,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,dominater01,None
Blade II,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,dominater01,None
Blazing Angels: Squadrons of WWII,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Blinx 2: Masters of Time & Space,playable,playable,playable,playable,playable,playable,supported,playable,playable,playable,playable,playable,"dominater01, Wolf",None
Blinx: The Time Sweeper,in-game,in-game,in-game,in-game,in-game,in-game,supported,playable,playable,playable,playable,playable,"Nonstopmaximum, willindiana, dominater01, Wolf","With xefu6 and earlier, the game is playable with low framerate in various areas of the game."
Blitz: The League,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,dominater01,None
Blood Omen 2,untested,untested,untested,untested,untested,untested,playable,supported,untested,untested,untested,playable,"/u/maty15987, dominater01","Characters may spin in different directions randomly during cut scenes. When gaining a new ability, graphical effects do not display correctly."
Blood Wake,untested,untested,untested,playable,untested,untested,untested,untested,untested,untested,untested,playable,"@BLEEN#1274, Derf, dominater01",Some reports that xefu7 will not work and you must use xefu3. Gun sound effects have low volume after some time and you must restart the game after each mission to progress as it frequently freezes during next mission loading screens.
BloodRayne,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,"/u/maty15987, dominater01",None
BloodRayne 2,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,dominater01,None
Bloody Roar Extreme,in-game,untested,untested,in-game,in-game,untested,untested,in-game,untested,untested,untested,unplayable,"/u/maty15987, willindiana, dominater01",Game runs slow
BlowOut,playable,playable,playable,playable,playable,playable,playable,playable,unplayable,untested,untested,unplayable,"/u/maty15987, dominater01,Trex1967",None
BMX XXX,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,dominater01,None
Braveknight,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,"Stikmars, szymmirr","Korean version playable. Japanese version stays in game for a couple of minutes, specifically with save data in Japanese characters, but eventually gives disc error."
Breakdown,untested,untested,untested,untested,untested,untested,playable,supported,untested,untested,untested,unplayable,"/u/maty15987, dominater01",None
Breeders’ Cup World Thoroughbred Championships,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Unknown,None
Brian Lara International Cricket 2005,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Stikmars,None
Broken Sword: The Sleeping Dragon,playable,playable,playable,playable,playable,playable,playable,playable,unplayable,untested,untested,unplayable,dominater01/Trex1967,None
Brothers in Arms: Earned in Blood,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,intro,"szymmirr, dominater01",Freezes at new game loading screen (music keeps playing).
Brothers in Arms: Road to Hill 30,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,intro,"Stikmars, szymmirr, dominater01",Remove media folder to get to the menus. Black screen after starting new game.
Bruce Lee: Quest of the Dragon,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,intro,dominater01,Freezes at loading screen
Brute Force,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,unplayable,dominater01,None
Buffy the Vampire Slayer,untested,untested,supported,untested,untested,untested,playable,untested,untested,untested,untested,playable,Unknown,None
Buffy the Vampire Slayer: Chaos Bleeds,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Burnout,playable,playable,playable,playable,playable,playable,supported,playable,playable,playable,playable,playable,"/u/maty15987, dominater01, Wolf",The game may slow down a little in some areas of a race
Burnout 2: Point of Impact,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,"/u/maty15987, dominater01, TechnoST",PAL version is playable on xefu2021c.
Burnout 3: Takedown,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,playable,/u/maty15987,"Those using an incomplete rip will find the game freezes on load. ""Burnout 3: Takedown (USA) hang fix"" contains the missing data."
Burnout Revenge,in-game,in-game,in-game,in-game,in-game,in-game,playable,in-game,untested,untested,untested,unplayable,JustAnyone#9310,"Unpatched will freeze at first race. If you change the Title ID to match Burnout 3, it will work fine. You can do this with HxD by changing 76 00 41 45 to 5B 00 41 45 at offset 18C (this patch is automatic if using Config Loader xefu7)."
Cabela’s Big Game Hunter 2005 Adventures,in-game,playable,playable,playable,in-game,playable,playable,playable,playable,playable,playable,playable,Wolf,Low framerate with xefu and xefu1_1
Cabela’s Dangerous Hunts,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Cabela’s Dangerous Hunts 2,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Cabela’s Deer Hunt 2005 Season,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Cabela’s Deer Hunt: 2004 Season,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Cabela’s Outdoor Adventures,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Call of Cthulhu: Dark Corners of the Earth,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Call of Duty 2: Big Red One,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,"LazyIllusion, RollPlayStation","When playing multiplayer, dots representing the enemy do not appear in the HUD."
Call of Duty 3,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,"Riley541, RollPlayStation",Some frame drops
Call of Duty: Finest Hour,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,"LazyIllusion, RollPlayStation","Prone to potentially game breaking freezing late in the Soviet campaign, very occasional minor texture flickering."
Capcom Classics Collection,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,"Stikmars, Imadummy","Exed Exes, Ghouls 'n Ghosts and Street Fighter II (all versions) crash to dashboard after controls screen"
Capcom Classics Collection Vol. 2,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Stikmars,None
Capcom Fighting Evolution,menus,untested,untested,in-game,menus,in-game,in-game,in-game,untested,untested,untested,in-game,"Stikmars, willindiana",Sprites glitch and slow movement pretty much the same as CvS 2
Capcom vs. SNK 2 EO,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,"/u/Think-Software-2353, Morrigan0001","Menus work fine, but sprites are glitchy and movement is slow when starting a fight"
Carmen Sandiego: The Secret of the Stolen Drums,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,willindiana,“This Original Xbox game has encountered a problem and can’t continue” error in every Xefu.
Cars,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,in-game,"Unknown, Persephone the Sheep","Xbox 360 version is also available. On xefu2021c Mater's Tractor Tipping mini game can lock up the console, Frank the harvester will also not render in the minigame sometimes, Dirt particles kicked up from cars don't render."
Carve,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,@JohnVeness#7994,None
Castlevania: Curse of Darkness,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,in-game,"Morrigan0001, Gora","Skip the first save room as you fall through the floor, cutscenes seem to be out of sync, possibly more issues. Advice's: Don't go too close to the doors or you pass through to them, go until then when the interaction marker show's up and press the button. Don't go too close to the walls because you get stuck or you fall into the texture and infinitely fall (the infinity fall issue may occur to the door sample sometimes). May not impossible to complete the game with this terms, but not an easy task."
C.A.T. Cyber Attack Team,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Catwoman,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,playable,RollPlayStation,None
Cel Damage,in-game,in-game,untested,in-game,in-game,untested,untested,in-game,untested,untested,untested,in-game,willindiana,Framerate slows down often
Celebrity Deathmatch,menus,menus,menus,menus,menus,menus,menus,menus,untested,untested,untested,untested,"/u/maty15987, szymmirr, Imadummy, willindiana",Flickering 3D models and speed issues. Game freezes shortly after starting a match.
Championship Bowling,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Championship Manager 2006,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Stikmars,Minor text artifacts.
Championship Manager 5,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Championship Manager Season 01/02,untested,untested,untested,untested,untested,untested,unplayable,untested,untested,untested,untested,untested,Imadummy,Resets/turns off console
Championship Manager Season: 02/03,untested,untested,untested,untested,untested,untested,unplayable,untested,untested,untested,untested,untested,Imadummy,Resets/turns off console
Charlie and the Chocolate Factory,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Chase: Hollywood Stunt Driver,menus,menus,menus,menus,menus,menus,menus,menus,untested,untested,untested,menus,willindiana,Fatal crash
Chessmaster,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,/u/maty15987,None
Chicago Enforcer,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Circus Maximus: Chariot Wars,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,RollPlayStation,None
Classified: The Sentinel Crisis,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,in-game,Unknown,No sfx when shooting
Close Combat: First to Fight,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Club Football,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,"Imadummy, szymmirr","Hangs on Xbox logo on NTSC console, plays fine on PAL console (tested AC Milan version)"
Club Football 2005,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,"Imadummy, szymmirr","Hangs on Xbox logo on NTSC console, plays fine on PAL console (tested AC Milan version)"
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,"/u/maty15987, ItsAshleyFTW","Shows error message at save, but saves fine, may freeze at save screen, press retry option to continue, plays perfectly"
Cold Fear,untested,in-game,in-game,in-game,in-game,in-game,in-game,in-game,untested,untested,untested,in-game,willindiana,Crashes on first level when pulling LT
Cold War,menus,menus,menus,menus,menus,menus,menus,menus,menus,menus,menus,menus,Fanotriel,Black screen after loading
Colin McRae Rally 04,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,RollPlayStation,"Frametiming issues during racing. Slowdown during corners on some tracks. Race timer is unaffected, leading to overall increased difficulty. Playing in bumper camera resolves this. Letters and characters such as ingame text and menus have graphical artifacts."
Colin McRae Rally 2005,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,RollPlayStation,"While on the main menu there is some texture flickering in the background image. Before the start of a race, graphical artifacts appear on text on screen. During single and multiplayer races there are severe fluidity issues, inconstant frame rate and screen tearing."
Colin McRae Rally 3,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
College Hoops 2K6,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,untested,untested,untested,unplayable,"Imadummy, willindiana",Game crashes while playing the Visual Concepts logo
College Hoops 2K7,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Combat Elite: WWII Paratroopers,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Combat: Task Force 121,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,intro,Unknown,None
Commandos 2: Men of Courage,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Commandos Strike Force,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
Conan,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Conflict: Desert Storm,supported,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,playable,RollPlayStation,None
Conflict: Desert Storm II - Back to Baghdad,untested,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,unplayable,Tisrok,None
Conflict: Global Terror,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,in-game,Unknown,Disc Read Error
Conflict: Vietnam,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,in-game,martincv,ntsc version work with default xefu. PAL versión work with xefu 2021
Conker: Live & Reloaded,in-game,in-game,playable,playable,in-game,supported,playable,playable,playable,playable,playable,playable,"/u/maty15987, Wolf","xefu, xefu2 and xefu1_1: FMVs may lag a little, low framerate with a lot of players on screen. PAL version FMVs lag on xefu6."
Conspiracy: Weapons of Mass Destruction,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Constantine,supported,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,playable,willindiana,None
Corvette,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Counter Terrorist Special Forces - Fire for Effect works,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,dominater01,None
Counter-Strike,playable,playable,playable,supported,playable,playable,playable,playable,playable,playable,playable,playable,"@Hamiltron#2183, Wolf","Runs smoothly. Upon loading screen, black screen is displayed for a few seconds but eventually loads."
Crash Bandicoot: The Wrath of Cortex,menus,playable,playable,playable,menus,playable,supported,playable,playable,playable,playable,playable,"/u/maty15987, Wolf, RollPlayStation",Levels fail to load on xefu and xefu1_1. Framerate is a little choppy across all xefus. More stable on xefu2019 to xefu2021c.
Crash ‘N’ Burn,untested,untested,untested,untested,playable,in-game,in-game,in-game,untested,untested,untested,in-game,"Selbats, Persephone the Sheep",None. On xefu2021c only the top left corner of the screen renders correctly and the rest a variety of effect happen from objects not rendering to them render at the wrong depth
Crash Nitro Kart,playable,playable,playable,supported,playable,playable,playable,playable,unplayable,unplayable,unplayable,unplayable,"LazyIllusion, Wolf, RollPlayStation","plays at 30 FPS in 720p and higher, plays at 60 FPS in 480p"
Crash Tag Team Racing,intro,intro,intro,intro,intro,intro,intro,intro,intro,intro,intro,intro,"ItsAshleyFTW, Remousa, Wolf","Shows legal information, then freezes at black screen."
Crash Twinsanity,supported,playable,playable,playable,playable,playable,playable,playable,playable,untested,untested,playable,"/u/maty15987, Remousa, Derf, RollPlayStation",Has FPS drops in some areas and occasional crashes. More stable with xefu2019 and xefu2021c.
Crazy Taxi 3: High Roller,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,in-game,"/u/maty15987, Selbats, Sunnie64",Runs at half framerate.
Cricket 2005,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Stikmars,None
Crime Life: Gang Wars,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,playable,RollPlayStation,Random cut scenes display a static image while audio plays normally. There is an occasional crash during the loading screen.
Crimson Sea,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,subrussian,Sometimes freezes in inventory menu while in hub area
Crimson Skies: High Road to Revenge,supported,in-game,in-game,playable,playable,playable,playable,playable,unplayable,untested,untested,unplayable,Trex1967,Came with xefu2021c on Xbox One.
"Crouching Tiger, Hidden Dragon",supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,"Stikmars, RollPlayStation",None
Crusty Demons,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,Unknown,None
CSI: Crime Scene Investigation,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,playable,"ItsAshleyFTW, szymmirr, Persephone the Sheep",Only plays on NTSC console if it's set to 480p/i. Plays on PAL console without switching to 480p. Some glitched animations. On original NTSC Xbox game can only be played in 480p/i
Curious George,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,"szymmirr, willindiana",Crashes to black screen xbox needs hard restart although you can also use the eject button to get out of the game.
Curse: The Eye of Isis,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,unplayable,Unknown,None
Daemon Vector,untested,untested,untested,untested,untested,untested,menus,untested,untested,untested,untested,untested,Stikmars,Display doesn’t fill the screen and hard crash when choosing a character.
Dai Senryaku VII: Modern Military Tactics,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Dakar 2: The World’s Ultimate Rally,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Dance Dance Revolution Ultramix,in-game,in-game,in-game,unplayable,in-game,unplayable,in-game,playable,in-game,in-game,in-game,in-game,"szymmirr, Privatename68234","Xefu5 and Xefu 6: The game runs but there is a black screen after the Xbox logo, gameplay is not possible. The models do not render properly in Xefu versions (Xefu, Xefu 2, Xefu 3, Xefu 1_1) in Xefu 7 and 7b, they do render properly but the shadows do not, in game looks darker in Xefu2019 and 2021’s. All other Xefu versions (7, 7b, 2019, 2021a, 2021b, 2021c) gameplay is possible but the game randomly hangs in the middle of a song, the screen stops updating and the last 5 seconds of audio repeat."
Dance Dance Revolution Ultramix 2,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,szymmirr,None
Dance Dance Revolution Ultramix 3,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,szymmirr,None
