Title ID,Name,Publisher,Developer,Release date,Has Local Multiplayer,Has LAN Multiplayer,Has Online Multiplayer
'454107F8,"""Army of Twoâ„¢""","""Electronic Arts""","""Electronic Arts Montreal""",2009-12-30,FALSE,FALSE,FALSE
'454108D8,"""Army of TWOâ„¢: TFD""","""Electronic Arts""","""Electronic Arts Montreal""",2010-01-12,TRUE,FALSE,FALSE
'434D082B,"""Ashes Cricket 2009""","""Codemasters Software Company Limited""","""Transmission Games""",2009-07-22,FALSE,FALSE,TRUE
'5553085D,"""Assassin's Creed Brotherhood""","""Ubisoft""","""Ubisoft Montreal""",2010-11-16,FALSE,FALSE,TRUE
'5553083B,"""Assassin's Creed II""","""Ubisoft""","""Ubisoft Montreal""",2013-04-09,FALSE,FALSE,FALSE
'55530879,"""Assassin's Creed Revelations""","""Ubisoft""","""Ubisoft Montreal""",2011-11-15,FALSE,FALSE,TRUE
'555307D4,"""Assassin's Creed""","""UbiSoft""","""Ubisoft Montreal""",2010-08-03,FALSE,FALSE,FALSE
'555308AE,"""Assassin's CreedÂ® III""","""Ubisoft""","""Ubisoft""",2012-10-30,FALSE,FALSE,TRUE
'584108C3,"""Assault Heroes 2""","""Activision""","""Wanako Games""",2009-12-07,TRUE,FALSE,TRUE
'494707EE,"""Assault on Dark Athena""","""Atari""","""Starbreeze Studios""",2009-12-28,FALSE,FALSE,TRUE
'4E4D081D,"""ASSAULTï½¥HORIZON""","""NAMCO BANDAI GAMES""","""NAMCO BANDAI GAMES""",2010-08-06,FALSE,FALSE,FALSE
'43430817,"""ASURA'S WRATH""","""CAPCOM CO., LTD.""","""CyberConnect2 Co.Ltd.""",2012-02-21,FALSE,FALSE,FALSE
'425607D1,"""At Worldâ€™s End""","""Disney""","""Eurocom Developments Ltd""",2008-01-01,FALSE,FALSE,FALSE
'4D4A07D9,"""Attack Of The Movies 3D""","""Majesco Entertainment""","""Panic Button Games, LLC""",2010-05-06,FALSE,FALSE,FALSE
'5848081A,"""Avatar Kinect""","""Xbox LIVE Productions""","""Good Science Studios""",2011-07-25,TRUE,FALSE,TRUE
'545107E1,"""Avatar: TLA: TBE""","""THQ Nordic""","""THQ Nordic""",2010-08-03,FALSE,FALSE,FALSE
'58410B5A,"""Awesomenauts""","""dtp entertainment""","""Ronimo Games""",2012-05-02,TRUE,FALSE,TRUE
'58410B39,"""Backbreaker Vengeance""","""505 Games""","""NaturalMotion Games""",2011-06-29,FALSE,FALSE,TRUE
'464F07DA,"""BACKBREAKERâ„¢""","""505 Games""","""NaturalMotion Games""",2010-07-29,TRUE,FALSE,TRUE
'49470803,"""Backyard Football '10""","""Atari""","""FarSight Studios""",2009-10-05,FALSE,FALSE,FALSE
'4947080B,"""Backyard Sports: Rookie Rush""","""Atari""","""Humongous Inc.""",2010-10-26,FALSE,FALSE,FALSE
'41560823,"""Baja 1000""","""Activision""","""Left Field Productions""",2008-01-01,TRUE,FALSE,TRUE
'545107EF,"""BAJA: Edge of Control""","""THQ""","""2XL Games, Inc.""",2010-08-03,FALSE,FALSE,TRUE
'41560857,"""Bakuganâ„¢""","""Activision""","""NOW PRODUCTION Company Limited / Premium Agency Inc.""",2009-09-18,FALSE,FALSE,FALSE
'41560891,"""Bakuganâ„¢: DOTC""","""Activision""","""NOW PRODUCTION Co., Ltd.""",2010-10-26,FALSE,FALSE,FALSE
'4156085C,"""Band Hero""","""Activision, Inc""","""Neversoft Entertainment""",2009-09-04,TRUE,FALSE,TRUE
'58410B4A,"""Bang Bang Racing""","""Digital Reality Software""","""Digital Reality Software""",2012-06-06,FALSE,FALSE,FALSE
'5343080B,"""Batman: AA GOTY""","""Square Enix""","""Rocksteady Studios Ltd""",2010-03-26,FALSE,FALSE,FALSE
'534307F6,"""Batman: Arkham Asylum""","""Warner Bros.""","""Rocksteady Studios Ltd""",2010-08-03,FALSE,FALSE,FALSE
'57520802,"""Batman: Arkham City""","""WB Games Inc.""","""Rocksteady Studios Ltd""",2011-10-18,FALSE,FALSE,FALSE
'415707D4,"""Battle Fantasia""","""Aksys Games""","""ARC SYSTEM WORKS Co.,Ltd.""",2010-05-07,FALSE,FALSE,TRUE
'58480818,"""Battle Stuff""","""Microsoft Studios""","""Smoking Gun Interactive""",2011-11-28,FALSE,FALSE,FALSE
'58410B42,"""Battle: Los Angeles""","""Konami Digital Entertainment""","""Live Action Studios""",2011-03-11,FALSE,FALSE,FALSE
'454107DB,"""Battlefield 2: Modern Combat""","""Electronic Arts""","""DICE/Electronic Arts""",2010-08-06,FALSE,FALSE,FALSE
'45410950,"""Battlefield 3â„¢""","""Electronic Arts""","""DICE""",2011-10-25,FALSE,FALSE,TRUE
'454108A8,"""Battlefield: Bad Company 2""","""Electronic Arts""","""Digital Illusions CE AB""",2010-03-02,FALSE,FALSE,TRUE
'454107F9,"""Battlefield: Bad Company""","""Electronic Arts Inc.""","""EA Digital Illusions CE AB""",2010-02-18,FALSE,FALSE,TRUE
'415608D1,"""Battleship""","""Activision""","""Double Helix""",2012-08-14,FALSE,FALSE,FALSE
'534307E9,"""Battlestations Pacific""","""Square Enix""","""Square Enix""",2010-05-05,FALSE,FALSE,FALSE
'534307D9,"""Battlestations: Midway""","""Square Enix""","""EIDOS Hungary""",2010-05-21,FALSE,FALSE,TRUE
'53450813,"""BAYONETTA""","""Sega""","""PlatinumGames""",2009-06-23,FALSE,FALSE,FALSE
'415907D7,"""BCFx Doug Williams Ed.""","""Aspyr Media Inc.""","""Nerjyzed Entertainment Inc.""",2009-08-10,FALSE,FALSE,TRUE
'4E4D07DC,"""Beautiful Katamari""","""Namco""","""NAMCO BANDAI Games Inc.""",2010-02-15,FALSE,FALSE,TRUE
'415607F5,"""Bee Movieâ„¢ Game""","""Activision""","""Beenox""",2010-06-22,FALSE,FALSE,FALSE
'534507F4,"""Beijing 2008""","""Sega""","""Eurocom Developments LTD""",2008-01-01,FALSE,FALSE,TRUE
'445007F1,"""BEN 10: VILGAX ATTACKS""","""D3Publisher""","""PAPAYA STUDIO""",2009-09-21,FALSE,FALSE,FALSE
'445007FC,"""Ben 10â„¢ Galactic Racing""","""D3Publisher of America, Inc.""","""Monkey Bar Games""",2011-10-18,FALSE,FALSE,FALSE
'55530801,"""Beowulf""","""UbiSoft""","""UBISOFT""",2008-01-01,FALSE,FALSE,FALSE
'41560800,"""Big Game Hunter""","""Activision""","""Fun Labs""",2007-11-06,FALSE,FALSE,FALSE
'415608CE,"""Big League Sports""","""Activision""","""Robomodo""",2012-09-25,FALSE,FALSE,FALSE
'5345085C,"""BINARY DOMAIN""","""SEGA""","""SEGA""",2012-02-16,TRUE,FALSE,TRUE
'434307DD,"""Bionic Commando""","""CAPCOM Co., Ltd.""","""GRIN""",2009-05-18,FALSE,FALSE,TRUE
'534307E2,"""Bionicle Heroes""","""Eidos""","""Traveller's Tales""",2008-01-01,FALSE,FALSE,FALSE
'54540861,"""BioShock 2""","""2K Games""","""2K Marin""",2010-02-09,FALSE,FALSE,TRUE
'5454082D,"""BioShock 2""","""2K Games""","""2K Marin""",2010-02-08,FALSE,FALSE,TRUE
'5454085D,"""BioShock Infinite""","""2K Games""","""Irrational Games""",2013-03-26,FALSE,FALSE,FALSE
'545407D8,"""BioShock""","""2K Games""","""2K Boston, 2K Austraila""",2010-07-06,FALSE,FALSE,FALSE
'4B4E0839,"""Birds of Steel""","""Konami Digital Entertainment""","""Gaijin Entertainment""",2011-12-09,TRUE,FALSE,TRUE
'5553088D,"""Black Eyed Peas Experience""","""Ubisoft""","""Ubisoft""",2011-11-08,FALSE,FALSE,FALSE
'4D5707D7,"""Blacksite""","""Midway Home Entertainment Inc.""","""Midway Studios - Austin""",2008-01-01,FALSE,FALSE,FALSE
'464F07F2,"""Blackwater Kinect""","""505 Games""","""Zombie Studios""",2011-10-18,FALSE,FALSE,FALSE
'4B4E0838,"""Blades of Time""","""Konami Digital Entertainment""","""Gaijin Entertainment""",2012-03-06,FALSE,FALSE,FALSE
'4B4F07D8,"""BLADESTORM""","""KOEI Co., Ltd.""","""KOEI Co., Ltd.""",2007-11-06,FALSE,FALSE,FALSE
'415807D5,"""BlazBlue Calamity Trigger""","""Aksys Games Localization, Inc.""","""ARC SYSTEM WORKS Co.,Ltd.""","""N/A""",FALSE,FALSE,FALSE
'415707DD,"""BLAZBLUE CONTINUUM SHIFT EXTEND""","""Aksys Games Localization, Inc.""","""ARC SYSTEM WORKS Co.,Ltd.""",2011-12-17,FALSE,FALSE,TRUE
'415707DA,"""BLAZBLUE CS""","""Aksys Games Localization, Inc.""","""ARC SYSTEM WORKS""",2010-08-11,FALSE,FALSE,TRUE
'555307FE,"""Blazing Angels 2""","""UbiSoft""","""Ubisoft Romania""",2007-09-18,TRUE,FALSE,TRUE
'555307DB,"""Blazing Angels""","""UbiSoft""","""Ubisoft Romania""",2006-03-23,FALSE,FALSE,TRUE
'4D5707E8,"""Blitz: The League II""","""Midway Home Entertainment Inc.""","""Midway Amusement Games, LLC""",2008-01-01,FALSE,FALSE,TRUE
'4D5707D4,"""Blitz: The League""","""Midway Home Entertainment Inc.""","""Point of View, Inc.""",2008-01-01,FALSE,FALSE,FALSE
'58580833,"""Block Party""","""Xbox LIVE""","""Xbox LIVE""",2010-03-01,FALSE,FALSE,TRUE
'464507D1,"""Blood Bowl""","""SouthPeak Interactive""","""Cyanide studio""",2010-01-26,FALSE,FALSE,TRUE
'4156088D,"""Blood Drive""","""Activision""","""Sidhe Interactive""",2010-11-02,FALSE,FALSE,TRUE
'4D5307DF,"""Blue Dragon""","""Microsoft""","""Mistwalker / Artoon""",2008-01-01,FALSE,FALSE,FALSE
'41560845,"""Blur""","""Activision""","""Bizarre Creations""",2010-05-27,TRUE,FALSE,TRUE
'58480813,"""Bobble Head""","""Microsoft Game Studios""","""Good Science Studio""",2011-06-06,FALSE,FALSE,FALSE
'4E4D0827,"""Body and Brain Connection""","""Namco Bandai Games America, Inc.""","""BANDAI NAMCO Entertainment Inc.""",2010-09-18,FALSE,FALSE,FALSE
'434D0839,"""Bodycount""","""Codemasters""","""Codemasters""",2011-08-23,TRUE,FALSE,TRUE
'485507D1,"""BOMBERMAN Act:Zero""","""Hudson Soft CO., Ltd.""","""HUDSON""",2010-05-19,FALSE,FALSE,TRUE
'5454087C,"""Borderlands 2""","""2K Games""","""Gearbox Software""",2012-09-18,TRUE,FALSE,FALSE
'545407E7,"""Borderlands""","""2K Games""","""Gearbox Software""",2009-10-20,TRUE,FALSE,TRUE
'454108C5,"""BrÃ¼tal Legend""","""Double Fine Productions""","""Double Fine Productions""",2009-12-15,FALSE,FALSE,TRUE
'424707D1,"""BradyGames Strategy""","""BradyGames""","""BradyGames""",2009-07-07,FALSE,FALSE,FALSE
'584108AE,"""Brain Challengeâ„¢""","""Microsoft Studios""","""Gameloft""",2009-12-16,FALSE,FALSE,TRUE
'455607D1,"""Brave- Warrior's Tale""","""Evolved Games""","""Collision Studios""",2010-01-15,FALSE,FALSE,FALSE
'425307D9,"""Brinkâ„¢""","""Bethesda Softworks""","""Splash Damage""",2011-05-10,TRUE,FALSE,TRUE
'555307EA,"""Brothers in Arms: HH""","""Ubisoft""","""Gearbox Software""",2010-05-06,FALSE,FALSE,TRUE
'435607DA,"""Brunswick Pro Bowling""","""Crave Games""","""FarSight Studios""",2010-11-18,FALSE,FALSE,TRUE
'58480812,"""Build A Buddy""","""Microsoft Game Studios""","""Good Science Studio""",2011-06-06,FALSE,FALSE,FALSE
'454108EF,"""Bulletstormâ„¢""","""Electronic Arts""","""Epic Games / People Can Fly""",2010-08-09,FALSE,FALSE,TRUE
'494707DB,"""BulletWitch""","""XSEED""","""MarvelousAQL""",2008-01-01,FALSE,FALSE,FALSE
'5454081A,"""Bully Scholarship Ed.""","""Rockstar Games""","""Rockstar New England""",2010-02-01,FALSE,FALSE,FALSE
'454107DC,"""Burnout Revenge""","""Electronic Arts""","""Criterion Games""",2010-08-03,FALSE,FALSE,FALSE
'58410B5D,"""Burnoutâ„¢ Crash!""","""Electronic Arts""","""Criterion Games""",2011-09-20,FALSE,FALSE,FALSE
'45410860,"""C&C Red Alert 3""","""Electronic Arts""","""Electronic Arts Los Angeles""",2008-10-30,TRUE,FALSE,TRUE
'4541083A,"""C&C3: Kane's Wrath""","""Electronic Arts""","""Electronic Arts Los Angeles""",2008-06-24,FALSE,FALSE,TRUE
'415608C7,"""Cabela's Adventure Camp""","""Activision""","""Cauldron""",2012-09-04,FALSE,FALSE,FALSE
'4156085F,"""Cabela's BGH 2010""","""Activision""","""Cauldron""",2009-07-11,FALSE,FALSE,FALSE
'415608BD,"""Cabela's Big Game Hunter 2012""","""Activision""","""Cauldron""",2011-09-27,FALSE,FALSE,FALSE
'415608DB,"""Cabela's Dangerous Hunts 2013""","""Activision""","""Cauldron""",2013-01-22,TRUE,FALSE,FALSE
'415608C2,"""Cabela's Hunting Party""","""Activision""","""GamesFarm""",2010-11-01,FALSE,FALSE,FALSE
'4156088F,"""Cabela's NAA""","""Activision""","""Fun Labs""",2010-09-14,FALSE,FALSE,TRUE
'415607E5,"""Cabela's Safari""","""Activision""","""Fun Labs""",2010-09-01,FALSE,FALSE,FALSE
'415608BE,"""Cabela's Survival: SoK""","""Activision""","""Fun Labs""",2011-11-01,FALSE,FALSE,FALSE
'41560890,"""Cabela'sÂ® DH 2011""","""Activision""","""Cauldron""",2010-10-26,FALSE,FALSE,FALSE
'415607D1,"""Call of DutyÂ® 2""","""Activision""","""Infinity Ward""",2005-11-17,FALSE,FALSE,FALSE
'415607E1,"""Call of DutyÂ® 3""","""Activision""","""Treyarch""",2006-11-07,FALSE,FALSE,TRUE
'415607E6,"""Call of DutyÂ® 4: Modern WarfareÂ®""","""Activision""","""Infinity Ward""",2007-11-05,FALSE,FALSE,TRUE
'41560855,"""Call of DutyÂ®: Black Ops""","""Activision""","""Treyarch""",2010-11-09,TRUE,FALSE,TRUE
'4156081C,"""Call of DutyÂ®: World at War""","""Activision""","""Treyarch""",2008-11-11,TRUE,FALSE,TRUE
'555307FA,"""Call of Juarez""","""UbiSoft""","""Techland""",2007-06-07,FALSE,FALSE,TRUE
'5553081C,"""Call of Juarez: Bound in Blood""","""Techland""","""Techland""",2009-06-30,FALSE,FALSE,TRUE
'55530874,"""Call of Juarez: The Cartel""","""Techland Publishing""","""Techland""",2011-07-19,TRUE,FALSE,TRUE
'5553083C,"""Cameron's Avatar""","""Ubisoft""","""Ubisoft Montreal""",2009-12-01,FALSE,FALSE,TRUE
'4343082B,"""Capcom Digital Collection""","""Capcom U.S.A., Inc.""","""Backbone Entertainment""",2012-03-20,FALSE,FALSE,TRUE
'53450858,"""Captain Americaâ„¢: Super Soldier""","""Sega of America""","""Next Level Games""",2011-07-19,FALSE,FALSE,FALSE
'54540890,"""Carnival GamesÂ®: Monkey See, Monkey Doâ„¢""","""2K Play""","""Cat Daddy""",2011-04-05,FALSE,FALSE,FALSE
'425607FE,"""Cars 2: The Video Game""","""Disney Interactive""","""Avalanche Software""",2011-06-21,FALSE,FALSE,FALSE
'54510801,"""Cars Mater-National""","""Disney Interactive Studios""","""Rainbow Studios Inc.""",2007-10-29,FALSE,FALSE,FALSE
'545107EA,"""Cars""","""Disney Interactive Studios""","""N/A""",2006-10-17,FALSE,FALSE,FALSE
'54510848,"""Cars: Race-O-Rama""","""Disney Interactive Studios""","""N/A""",2009-10-01,FALSE,FALSE,FALSE
'4F4707D7,"""Cartoon Network: Punch Time Explosion XL""","""OG International Ltd""","""Papaya Studio""",2012-12-18,FALSE,FALSE,FALSE
'584108B7,"""Castle Crashers""","""Microsoft Studios""","""The Behemoth""",2010-06-23,TRUE,FALSE,TRUE
'4B4E0809,"""Castlevania Lords of Shadow""","""Konami Digital Entertainment""","""Mercury Steam Entertainment""",2010-10-05,FALSE,FALSE,FALSE
'4B4E084D,"""Castlevania: Lords Of Shadow 2""","""Konami Digital Entertainment""","""Mercury Steam Entertainment""",2013-10-31,FALSE,FALSE,FALSE
'415407D7,"""Catherine""","""Atlus""","""Atlus""",2011-07-26,FALSE,FALSE,FALSE
'4B5607D5,"""Champion Jockey: G1 Jockey & Gallop Racer""","""TECMO KOEI GAMES CO., LTD.""","""TOSE CO.,LTD""",2011-09-02,FALSE,FALSE,TRUE
'4156085A,"""Chaotic""","""Activision""","""Fun Labs""",2009-11-03,FALSE,FALSE,TRUE
'5A4507D1,"""Check vs Mate""","""TopWare Interactive AG""","""Targem Games""",2014-06-20,FALSE,FALSE,TRUE
'5553084C,"""Child of Eden""","""Ubisoft""","""Q Entertainment""",2011-06-14,FALSE,FALSE,FALSE
'534507D4,"""Chromehounds""","""Sega""","""FROM SOFTWARE""",2010-01-07,FALSE,FALSE,TRUE
'415607E4,"""Civil War""","""Activision""","""Cauldron""",2008-01-01,FALSE,FALSE,FALSE
'4E4D081B,"""CLASH OF THE TITANS""","""BANDAI NAMCO Entertainment Inc.""","""Game Republic""",2010-04-30,FALSE,FALSE,FALSE
'434D07E9,"""Clive Barker's Jericho""","""Codemasters Software Company Limited""","""Mercury Steam Entertainment, S.L.""",2008-01-01,FALSE,FALSE,FALSE
'55530836,"""Cloudy with a...""","""Ubisoft""","""Ubisoft""",2009-09-18,FALSE,FALSE,FALSE
'545407D2,"""College Hoops 2K6""","""2K Games""","""Visual Concepts Entertainment""",2008-01-01,FALSE,FALSE,FALSE
'545407F1,"""College Hoops 2K7""","""2K Games""","""Visual Concepts Entertainment""",2008-01-01,FALSE,FALSE,TRUE
'54540818,"""College Hoops 2K8""","""2K Sports""","""Visual Concepts Entertainment""",2008-01-01,FALSE,FALSE,FALSE
'435907D2,"""Combat Wings: The Great Battles Of World War II""","""Cyberfront""","""City Interactive""",2013-02-14,FALSE,FALSE,FALSE
'4541080E,"""Command & Conquer 3""","""Electronic Arts""","""Electronic Arts Los Angeles""",2010-06-29,TRUE,FALSE,TRUE
'545107DA,"""Conan""","""THQ""","""Nihilistic Software, Inc.""",2010-07-13,FALSE,FALSE,FALSE
'534507D2,"""Condemned""","""Sega""","""Monolith Productions, Inc.""",2010-03-24,FALSE,FALSE,FALSE
'534307D3,"""Conflict: Denied Ops""","""Eidos""","""Pivotal Games""",2008-01-01,TRUE,FALSE,TRUE
'563307D1,"""Country Dance All Stars""","""GameMill Entertainment""","""High Voltage Software""",2012-10-09,FALSE,FALSE,FALSE
'4D5308BC,"""Crackdown 2""","""Microsoft Game Studios""","""Ruffian Games Ltd.""",2010-07-06,TRUE,FALSE,TRUE
'4D5307DC,"""Crackdown""","""Microsoft""","""Realtime Worlds""",2010-07-06,FALSE,FALSE,TRUE
'565507FA,"""Crash Mind Over Mutant""","""Vivendi Universal Games""","""Radical Entertainment""",2008-10-07,TRUE,FALSE,FALSE
'565507E4,"""Crash Of The Titans""","""Vivendi Universal Games""","""Radical Entertainment""",2009-12-03,TRUE,FALSE,FALSE
'524C07D9,"""Crash Time 3""","""Playtainment""","""Synetic""",2009-10-01,FALSE,FALSE,FALSE
'445407D9,"""Crash Time 4 - The Syndicate""","""dtp entertainment AG""","""Synetic GmbH & Co. KG""",2010-11-26,FALSE,FALSE,TRUE
'524C07D6,"""Crash Time II""","""RTL Games""","""Synetic""",2008-01-01,FALSE,FALSE,FALSE
'524C07D1,"""Crash Time""","""RTL Games""","""Synetic""",2008-01-01,FALSE,FALSE,FALSE
'45410929,"""Createâ„¢""","""Electronic Arts""","""Bright Light""",2010-11-16,FALSE,FALSE,FALSE
'4B4E082C,"""CROSSBOARD 7""","""Konami Digital Entertainment GmbH""","""Konami Digital Entertainment Co., Ltd.""",2010-11-04,FALSE,FALSE,FALSE
'454108E3,"""Crysis 2""","""Electronic Arts""","""Crytek""",2010-11-01,FALSE,FALSE,FALSE
'45410968,"""Crysis""","""Electronic Arts""","""Crytek""",2011-08-30,FALSE,FALSE,FALSE
'4541098E,"""CrysisÂ®Â 3""","""Electronic Arts""","""Crytek""",2013-02-19,FALSE,FALSE,TRUE
'5553083F,"""CSI: Deadly Intent""","""Ubisoft""","""Telltale Games""",2009-10-27,FALSE,FALSE,FALSE
'55530849,"""CSI: Fatal Conspiracy""","""Ubisoft""","""Telltale Games""",2010-10-28,FALSE,FALSE,FALSE
'55530809,"""CSI-Hard Evidence""","""UbiSoft""","""Telltale Games, Inc.""",2007-09-25,FALSE,FALSE,FALSE
'41560825,"""CW: Secret Missions""","""Activision""","""Cauldron""",2008-01-01,FALSE,FALSE,FALSE
'4D5907D3,"""Damage Inc. - Pacific Squadron WWII""","""Mad Catz Interactive""","""Trickstar Games""",2012-08-28,TRUE,FALSE,TRUE
'434D0806,"""Damnation""","""Codemasters Software Company Limited""","""Blue Omega Entertainment, Inc.""",2008-01-01,TRUE,FALSE,TRUE
'545607D3,"""Dance Central""","""Microsoft/MTV Games""","""Harmonix Music Systems, Inc.""",2010-11-18,FALSE,FALSE,FALSE
'5451088C,"""Dance Paradise""","""THQ Inc.""","""Smack Down Production""",2011-02-08,FALSE,FALSE,FALSE
'4B4E0807,"""DanceDanceRevolution""","""Konami Digital Entertainment, Inc.""","""Konami Digital Entertainment Co., Ltd.""",2011-04-12,FALSE,FALSE,FALSE
'4B4E081E,"""DanceMasters""","""Konami Digital Entertainment, Inc.""","""Konami Digital Entertainment Co., Ltd.""",2010-11-04,FALSE,FALSE,TRUE
'41560826,"""Dangerous Hunts 2009""","""Activision""","""Fun Labs""",2008-09-23,FALSE,FALSE,FALSE
'454108CF,"""Dante's Infernoâ„¢""","""Electronic Artsâ„¢""","""Electronic Artsâ„¢""",2010-04-27,FALSE,FALSE,FALSE
'55530804,"""Dark Messiah of Might and Magic: Elements""","""UbiSoft""","""Ubisoft""",2008-02-12,FALSE,FALSE,TRUE
'445007D4,"""Dark Sector""","""D3 Publisher""","""Digital Extremes""",2008-01-01,FALSE,FALSE,FALSE
'4E4D083A,"""Dark Soulsâ„¢""","""NAMCO BANDAI Games America Inc.""","""FromSoftware, Inc.""",2011-08-15,TRUE,FALSE,TRUE
'434307E0,"""Dark Void""","""Capcom Entertainment, Inc.""","""Airtight Games, Inc.""",2010-01-23,FALSE,FALSE,FALSE
'564707D4,"""Darkest Of Days""","""Valcon Games""","""8monkey / Third Wave Games""",2009-07-14,FALSE,FALSE,FALSE
