Title,Publisher(s),Technical issue(s),Add-Ons,Region(s),Ref(s)
Darkwatch,Capcom,"The ""Invasion"" mission is unplayable – trying to start it causes the game to either freeze or exit to the main interface showing an error message, making it impossible to proceed with the story. The intro sequence is choppy and skipping it makes the game freeze after pressing the Start button at the title screen.",,,[ 5 ]
Dave Mirra Freestyle BMX 2,Acclaim Max Sports,The sky is corrupted in the Attract Mode. There is also a random performance drop during gameplay.,,,[ 5 ] [ 16 ]
Dead or Alive 3,Tecmo,,XBO,,[ 5 ]
Dead or Alive Ultimate,Tecmo,A random crash may occur before starting the opening movie. Slowdowns during certain stages.,XBO,,[ 5 ] [ 16 ]
Dead to Rights,Namco,Flickering during third helicopter fight on mission #6. Temporary performance drops on stage #7.,XBO,,[ 16 ] [ 12 ]
Deathrow,Ubi Soft,,,,[ 5 ]
Destroy All Humans!,THQ,The weapon sounds cut out during periods of high activity.,XO XBO,,[ 16 ] [ 18 ] [ 24 ] [ 25 ] [ 26 ]
Digimon Rumble Arena 2,Bandai,"Issue only present in the Japanese version, save data title is shown in English.",,,[ 5 ] [ 16 ]
Dinotopia: The Sunstone Odyssey,TDK Mediactive,Game subtitles and background font are showing poorly. When in mission #1 player attack on training dummy frame-rate drops during attacking.,,NA PAL,[ 5 ]
Doom 3,Activision,,,,[ 5 ]
Doom 3: Resurrection of Evil,Activision,,,,[ 5 ]
Drake of the 99 Dragons,Majesco Entertainment,,,NA,[ 5 ]
Dreamfall: The Longest Journey,Aspyr Media,,XO,,[ 27 ] [ 28 ] [ 29 ]
Drive to Survive Mashed: Fully Loaded (PAL),Empire Interactive,A short pause in gameplay will occur when taunting.,,,[ 5 ] [ 16 ]
Dungeons & Dragons: Heroes,Atari,,,,[ 5 ]
Dynasty Warriors 4 Shin Sangokumusou 3 (JP),Koei,Game progress may not save correctly. Severe frame rate drops when many characters are on-screen. Minor visual artifacts on some menus.,,,[ 5 ]
Egg Mania: Eggstreme Madness,Kemco,,,,[ 5 ]
The Elder Scrolls III: Morrowind,Bethesda Softworks,The load game screenshots will fail to render correctly.,XBO,,[ 16 ] [ 18 ]
ESPN College Hoops,Sega,,,,[ 5 ]
ESPN College Hoops 2K5,Sega,"During the intro video, there is some choppiness.",,NA,[ 5 ] [ 16 ]
ESPN Major League Baseball,Sega,"Controller sometimes fails to vibrate outside of the strike zone, logos on player uniforms sometimes flicker and occasional choppy animations when video mode is set to 1080i.",,,[ 5 ] [ 16 ]
ESPN MLS ExtraTime 2002,Konami,,,,[ 5 ]
ESPN NFL 2K5,Sega,,,,[ 5 ]
ESPN NHL 2K5,Sega,There are texture issues throughout the gameplay and gameplay splash screens.,,,[ 5 ] [ 16 ]
Evil Dead: A Fistful of Boomstick,THQ,,,,[ 5 ]
Evil Dead: Regeneration,THQ,Some in-game light sources engulf large portions of the screen. There is some random crashing.,,,[ 5 ] [ 16 ]
F1 2001,EA Sports,,,,[ 5 ]
Fable,Microsoft Game Studios,"Occasionally there is an audio ""scratch"" or static popping sound.",XO,,[ 16 ] [ 22 ]
Fable: The Lost Chapters,Microsoft Game Studios,,,,[ 5 ]
The Fairly OddParents: Breakin' da Rules,THQ,,,,[ 5 ]
Family Guy Video Game!,2K Games,,,,[ 5 ]
Fantastic Four,Activision,There is a random crash during the first full-motion video.,,,[ 5 ] [ 16 ]
Far Cry Instincts,Ubisoft,"During three-person split-screen, there is graphic distortion and loss of control. There are jagged horizontal lines in the attract mode on 480p/720p displays. Frame rate drops during the second mission, and there are visible texture seams while riding the zipline in the mines. When using a melee attack after transformation, the knife audio effect plays. The checkpoints do not save when running in PAL-50.",,,[ 5 ] [ 16 ]
Fatal Frame Project Zero (PAL),"Tecmo , Microsoft Game Studios","The PAL version ""Project Zero"" is not supported. Missing video during a ghost introduction cutscene in the mansion.
Some alpha textures on the main character's hair are broken.",,,[ 5 ] [ 16 ]
Fatal Frame II: Crimson Butterfly Project Zero II: Crimson Butterfly (PAL),Tecmo,,,,[ 5 ]
FIFA Football 2003,EA Sports,,,,[ 5 ]
FIFA Football 2004,EA Sports,,,,[ 5 ]
FIFA 06,EA Sports,The in-game cut scenes are blurry as well as the penalty shootouts.,,,[ 5 ]
FIFA 07,EA Sports,"The frame rate drops on the opening video, and the in-game cut scenes are blurry.",,,[ 5 ] [ 16 ]
FIFA Street,EA Sports BIG,,,,[ 5 ]
FIFA Street 2,EA Sports BIG,,,,[ 5 ]
Fight Night 2004,EA Sports,"Has on some hairstyles problems, to display. And something it has slowdowns.",,,[ 5 ]
Fight Night Round 3,EA Sports,,,,[ 5 ]
Final Fight: Streetwise,Capcom,"The audio and video are not synced in the cut scenes while there is minor flickering in the cinematics. There is a performance slowdown during gameplay when there is a significant number of objects on screen, and the floor texture is missing in the Pier 15 area of Chapter 3.",,,[ 5 ] [ 16 ]
FlatOut,Empire Interactive,,,,[ 5 ]
Ford Mustang: The Legend Lives,2K Games,,,,[ 5 ]
Ford vs. Chevy,Global Star Software,,,,[ 5 ]
Forgotten Realms: Demon Stone,Atari,"In Chapter 4, there is a texture dropout in the cut scene. In Chapters 4 and 5, the unlockable concept art videos do not play. There is a small vertical dotted line distortion on the right side of the heads-up display.",,,[ 5 ] [ 16 ]
Forza Motorsport,Microsoft Game Studios,"Frame rate is lower and unstable if compared to the original experience. There are some artifacts in the decals menu. Occasionally, you can hear audio noises. The loading animation does not appear, except for when high scores are being saved.",,,[ 5 ]
Freaky Flyers,Midway Games,The frame rate occasionally drops during the game.,,,[ 5 ] [ 16 ]
Freedom Fighters,EA Games,,,NA,[ 5 ]
Freestyle Street Soccer Urban Freestyle Soccer (PAL),Acclaim Entertainment,,,,[ 5 ]
Frogger Beyond,Konami,,,,[ 5 ]
Frogger: Ancient Shadow,Konami,,,,[ 5 ]
Full Spectrum Warrior,THQ,,XBO,,[ 5 ] [ 18 ]
Full Spectrum Warrior: Ten Hammers,THQ,There is some improper aliasing on player models and environment.,,,[ 5 ] [ 16 ]
Futurama,"SCi Games , Vivendi Universal Games",,,,[ 5 ]
Future Tactics: The Uprising,"JoWooD Productions , Crave Entertainment",,,,[ 5 ]
Fuzion Frenzy,Microsoft Game Studios,,XO XBO,,[ 12 ] [ 22 ]
Gauntlet: Seven Sorrows,Midway Games,,XO,,[ 30 ]
Genma Onimusha,Capcom,,,,[ 5 ]
Goblin Commander: Unleash the Horde,Jaleco Entertainment,,,,[ 5 ]
Godzilla: Destroy All Monsters Melee,Infogrames,,,,[ 5 ]
Godzilla: Save the Earth,Atari,,,,[ 5 ]
GoldenEye: Rogue Agent,EA Games,The PAL version is not backwards compatible.,,,[ 5 ]
Grabbed by the Ghoulies,Microsoft Game Studios,Video output is too narrow on VGA with 1280x1024 resolution. This can be remedied by selecting a different output resolution. There is a chance of save data corruption when the game is booted up. Lightbulbs may show a checkerboard pattern instead of light effect.,XO XBO,,[ 16 ] [ 12 ] [ 31 ]
Grand Theft Auto III,Rockstar Games,There is some chugging during the intro. Major frame rate slowdown while driving. Radio is quiet during gameplay.,,,[ ref 1 ]
Grand Theft Auto: Double Pack [ 34 ],Rockstar Games,See GTA 3 and Vice City entries.,,,[ ref 1 ]
Grand Theft Auto: San Andreas,Rockstar Games,"Audio sometimes cuts out randomly during cutscenes, or sometimes audio lag. Vehicle explosions would cause it to flicker. Most notably the fire trucks.",XO,,[ 35 ] [ 36 ]
Grand Theft Auto: Vice City,Rockstar Games,There is some chugging during the intro. Major frame rate slowdown while driving. Radio is quiet during gameplay.,,,[ 5 ] [ 16 ]
Grand Theft Auto: The Trilogy [ 37 ],Rockstar Games,"See GTA 3, Vice City, and San Andreas entries.",,,[ 5 ]
Gravity Games Bike: Street Vert Dirt,Midway Games,Only works in 480p.,,,[ 5 ]
The Great Escape,Gotham Games,,,,[ 5 ]
Greg Hastings Tournament Paintball MAX'D,Activision,"During system link and online gameplay, players may be randomly teleported.",,,[ 5 ] [ 16 ]
Grooverider: Slot Car Thunder,Encore,,,,[ 5 ]
Guilty Gear Isuka,Sammy,,,,[ 5 ]
Guilty Gear X2 #Reload,Majesco Entertainment,,XO,,[ 38 ]
The Guy Game,Gathering,"There is audio choppiness in videos under the bonus unlockables, and on the extra videos at the end of an episode.",,NA,[ 5 ] [ 16 ]
Half-Life 2,Valve,This game does not play on PAL-60 televisions with composite cabling. This does not affect PAL-50 televisions. Screen corruption in attract mode will occur after the console has been idle for a long period of time.,,,[ 5 ] [ 16 ]
Halo: Combat Evolved,Microsoft Game Studios,,,,[ 22 ]
Halo 2,Microsoft Game Studios,"Performance problems while playing on the Backwash map. Occasionally the player may observe ""ghost"" images displayed on the screen. Playing the Gravemind stage in Campaign displays ghost images as well. According to Microsoft, the workaround for this issue is to return to the Dashboard and restart the game.",,,[ 5 ] [ 16 ]
Halo 2 Multiplayer Map Pack,Microsoft Game Studios,,,,[ 5 ]
Harry Potter and the Chamber of Secrets,EA Games,Certain objects have no graphics while there is a frames-per-second issue.,,,[ 5 ] [ 16 ]
Harry Potter and the Goblet of Fire,Electronic Arts,,,,[ 5 ]
Harry Potter and the Prisoner of Azkaban,EA Games,"An occasional hard lock occurs when switching to cut scenes. Occasionally, enemies will become stuck in a loop or just stuck to the environment.",,,[ 5 ] [ 16 ]
Harry Potter and the Sorcerer's Stone Harry Potter and the Philosopher's Stone (PAL),EA Games,,,,[ 5 ]
He-Man: Defender of Grayskull,Midas Interactive Entertainment,"An Xbox version was planned but never released, however this title is included on Microsoft's official backwards compatible list.",,Unreleased,[ 5 ] [ 39 ]
High Heat Major League Baseball 2004,3DO,,,NA,[ 5 ]
High Rollers Casino [ b ],Mud Duck Productions,,,,[ 5 ]
Hitman: Contracts,Eidos,,,,[ 5 ]
Hot Wheels: Stunt Track Challenge,THQ,,,,[ 5 ]
The House of the Dead III,Sega,Slowdowns during certain sections of the game. House of the Dead 2 has severe graphical issues and huge slowdowns and sometimes speeds up randomly.,,,[ 5 ]
Hulk,Vivendi Universal Games,,,,[ 5 ]
Hunter: The Reckoning,Interplay Entertainment,,XBO,,[ 18 ]
I-Ninja,Namco,The frame rate drops in World 3 Central map.,,,[ 5 ] [ 16 ]
IHRA Drag Racing: Sportsman Edition,Bethesda Softworks,,,,[ 5 ]
IHRA Professional Drag Racing 2005,Bethesda Softworks,,,,[ 5 ]
The Incredible Hulk: Ultimate Destruction,Vivendi Universal Games,"Flickering textures, black bars during cinematics sometimes flicker too.",,,[ 5 ]
The Incredibles Mr. Incredible (JP),THQ,Skyscraper textures are swapped to Mr. Incredible's textures,,,[ 5 ]
The Incredibles: Rise of the Underminer,THQ,,,,[ 5 ]
Indiana Jones and the Emperor's Tomb,LucasArts,"Some sound effects are out of sync, and there is a random crash on the last level.",XBO,,[ 5 ] [ 16 ]
Indigo Prophecy Fahrenheit (PAL),Atari,,XO,,[ 22 ]
IndyCar Series 2005,Codemasters,,,,[ 5 ]
Intellivision Lives!,Crave Entertainment,,XO,,[ 24 ]
Jade Empire,Microsoft Game Studios,The Monk Zeng content from the limited edition became available as of the December 2005 update.,XO XBO,,[ 18 ] [ 40 ]
Jet Set Radio Future,Sega,"There is graphical flickering in the main menu. Some particle effects in 99th street cause heavy frame drops as well as unknown frame drops in various other stages (Dogenzaka Hill, Fortified Rezidential Zone).",,,[ 5 ] [ 16 ]
Judge Dredd: Dredd vs. Death,Evolved Games,Slowdowns and slightly distracting ground and wall flickering during gameplay.,,,[ 5 ]
Jurassic Park: Operation Genesis,"Vivendi Universal Games , Konami",,,,[ 5 ]
Justice League Heroes,Eidos,Text still appears when scrolling through the upgrade menu screen. There are performance drops during game play. There are some texture issues.,,,[ 5 ] [ 16 ]
Kabuki Warriors,Crave Entertainment,,,,[ 5 ]
Kelly Slater's Pro Surfer,Activision,,,,[ 5 ]
Kill Switch,Namco,,,,[ 5 ]
King Arthur,Konami,Minor video stuttering occurs during the actual movie videos.,,,[ 5 ] [ 16 ]
The King of Fighters Neowave,SNK Playmore,,XBO,,[ 12 ]
The King of Fighters 2002 & 2003,SNK Playmore,KOF 2002 shows corrupted sprite frames.,,,[ 5 ]
Kingdom Under Fire: The Crusaders,Microsoft Game Studios,"Game hangs when selecting ""Create Match"" after editing a party.",,,[ 5 ] [ 16 ]
The Legend of Spyro: A New Beginning,Vivendi Games,,XO,,[ 38 ]
Lego Star Wars: The Video Game,Eidos,,,,[ 5 ]
Lego Star Wars II: The Original Trilogy,LucasArts,,,,[ 5 ]
Leisure Suit Larry: Magna Cum Laude,Vivendi Universal Games,Incorrect textures are loaded as the player progresses.,,,[ 5 ] [ 16 ]
Lemony Snicket's A Series of Unfortunate Events,Activision,,,,[ 5 ]
Links 2004,Microsoft Game Studios,,,,[ 5 ] [ 16 ]
Loons: The Fight for Fame,Infogrames,,,,[ 5 ]
The Lord of the Rings: The Return of the King,EA Games,Slowdown during in game cutscenes. Gameplay is fine.,,,[ 5 ]
The Lord of the Rings: The Third Age,EA Games,,,,[ 5 ] [ 16 ]
Magatama,Microsoft Game Studios,,XO,J,[ 23 ]
Magic: The Gathering – Battlegrounds,Atari,,,,[ 5 ]
Manhunt,Rockstar Games,,XBO,,[ 5 ]
Marvel Nemesis: Rise of the Imperfects,EA Games,,,,[ 5 ]
Marvel vs. Capcom 2: New Age of Heroes,Capcom,There is some severe artifacting on character sprites.,,,[ 5 ] [ 16 ]
Mat Hoffman's Pro BMX 2,Activision O2,No widescreen support. Boston level loads with blue textures that obstruct the screen.,,,[ 5 ]
Max Payne,Rockstar Games,The game has some minor slowdown.,XO XBO,,[ 41 ]
Max Payne 2: The Fall of Max Payne,Rockstar Games,,XO XBO,,
Maximum Chase,Majesco Entertainment,Live action cinematics are choppy.,,,[ 5 ]
MechAssault 2: Lone Wolf,Microsoft Game Studios,,,,[ 5 ]
Medal of Honor: European Assault,EA Games,,,,[ 5 ]
Medal of Honor: Frontline,EA Games,,,,[ 5 ]
Medal of Honor: Rising Sun,EA Games,"Framerate constantly drops, and when you try to save your progress after completing a mission, the game does not save despite saying ""saving.""",,,[ 5 ]
Mega Man Anniversary Collection,Capcom,"In Mega Man 8, there are some graphical glitches where certain sprites, such as Mega Man's running sprite, glitch out and stutter. The videos that are unlockable in the game also stutter badly.",,,[ 5 ]
Mercenaries: Playground of Destruction,LucasArts,"The thumbnail map will not render correctly. During the China campaign, there are random system hang-ups that prevent player progress.",XBO,,[ 16 ] [ 18 ]
Metal Arms: Glitch in the System,Vivendi Games,Minor frame drops occur.,XO,,[ 42 ]
Micro Machines,Infogrames,,,,[ 5 ]
Mike Tyson Heavyweight Boxing,Codemasters,,,,[ 5 ]
Minority Report: Everybody Runs,Activision,,,,[ 5 ]
MLB Slugfest 2003,Midway Games,"All resolutions above 480i / 480p show no video. There is text corruption throughout the game in the menu, gameplay, pause, and other screens.",,,[ 5 ] [ 16 ]
MLB Slugfest 2004,Midway Games,,,,[ 5 ]
MLB Slugfest: Loaded,Midway Games,,,NA,[ 5 ]
Monster Garage,Activision,,,,[ 5 ]
Mortal Kombat: Armageddon,Midway Games,The Press Start screen has severe flickering.,,NA,[ 5 ] [ 16 ]
Mortal Kombat: Deception,Midway Games,There is flickering on the title screen.,,,[ 5 ] [ 16 ]
MotoGP,THQ,,,,[ 5 ]
MotoGP 2,THQ,Engine sound effects play louder than normal setting when at higher speeds. Engine sounds crackle and cut out during races. The option to assign keys to the Right Trigger in the Settings menu is missing. Tutorial videos shake and flash.,,,[ 5 ] [ 16 ]
MVP Baseball 2003,EA Sports,,,NA,[ 5 ]
MVP Baseball 2004,EA Sports,,,NA,[ 5 ]
MTV Music Generator 3: This Is the Remix,Codemasters,The game performs at a severely low frame-rate when on the Files menu.,,,[ 5 ]
MTX Mototrax,Activision,The loading progress bar is missing.,,,[ 5 ] [ 16 ]
Murakumo: Renegade Mech Pursuit,Ubi Soft,,,,[ 5 ]
MX Unleashed,THQ,The shadows flicker when leaving the starting gate. Loading screens have a silver box behind the text. Distant trees flicker in and out on the Montauk Plains Freestyle stage.,XBO,,[ 16 ] [ 18 ]
MX vs. ATV Unleashed,THQ,"When entering or leaving a race, graphics are polarized. There is object rendering difficulty on the horizon during a waypoint race. Shadows flicker in the THQ SX championship on the Tucson track.",,,[ 5 ] [ 16 ]
MX World Tour Featuring Jamie Little,Crave Entertainment,,,,[ 5 ]
Myst III: Exile,Ubi Soft,,,,[ 5 ]
Namco Museum,Namco,The arrangement game dig dug arrangement found in this version of Namco Museum causes a crash immediately during gameplay. Halting player's progress the solution is to eject the game disc and restart the game,,,[ 5 ]
Namco Museum 50th Anniversary Arcade Collection,Namco,,,,[ 5 ]
NASCAR 06: Total Team Control,EA Sports,,,,[ 5 ]
NASCAR Thunder 2002,EA Sports,"There is audio static throughout the game, and the performance drops when the rear view mirror is enabled.",,NA,[ 5 ] [ 16 ]
NASCAR Thunder 2003,EA Sports,"Framerate is sluggish, and there is also audio static throughout the game. The audio effects are loud when in the in-car view, and there is some flickering in the Pause menu.",,NA,[ 5 ] [ 16 ]
NBA Ballers,Midway Games,,,,[ 5 ]
NBA Inside Drive 2002,Microsoft Game Studios,,,,[ 5 ]
NBA 2K3,Sega,,,NA,[ 5 ]
NBA Live 2002,EA Sports,,,,[ 5 ]
NBA Live 2004,EA Sports,,,,[ 5 ]
NBA Street V3,EA Sports BIG,There is audio stuttering in the introductory video.,,,[ 5 ] [ 16 ]
NCAA College Basketball 2K3,Sega,,,,[ 5 ]
NCAA Football 06,EA Sports,Player speed while sprinting is very slow. During gameplay there is some audio static.,,,[ 5 ] [ 16 ]
NCAA March Madness 06,EA Sports,"Performance problems occur during the intro video. There is some audio stutter during the game setup, and minor audio static occurs during gameplay.",,NA,[ 5 ] [ 16 ]
NCAA March Madness 2005,EA Sports,Video stutters during the introductory video.,,NA,[ 5 ] [ 16 ]
Need for Speed: Underground 2,EA Games,"Cutscenes stutter and lag. 2-Player Split-screen camera breaks for Player 2 and shows more of Player 1's camera, rendering split-screen play unplayable.",,,[ 5 ]
NFL 2K2,Sega,,,NA,[ 5 ]
NFL 2K3,Sega,,,NA,[ 5 ]
NFL Blitz 2002,Midway Games,,,,[ 5 ]
NFL Blitz 2003,Midway Games,,,,[ 5 ]
NFL Blitz Pro,Midway Games,,,,[ 5 ]
NFL Fever 2004,Microsoft Game Studios,,,,[ 5 ]
NHL 2004,EA Sports,,,,[ 5 ]
NHL 2005,EA Sports,Audio and video are out of sync in the introductory cinematic.,,,[ 5 ] [ 16 ]
NHL 2K3,Sega,"A random crash will occur at the loading screen when launching a quick game. During system link games, there are performance drops and random de-syncing between consoles. There are minor performance drops during gameplay, and after a goal is scored, an audio squeal can be heard.",,NA,[ 5 ] [ 16 ]
NHL Hitz 2003,Midway Games,,,,[ 5 ]
NHL Hitz Pro,Midway Games,"During faceoffs and replays, there is minor flickering on the players.",,,[ 5 ] [ 16 ]
NightCaster,Microsoft Game Studios,"Audio dialogue ends early during the gameplay, and there is a minor performance drop during the opening and closing of the spellbook.",,,[ 5 ] [ 16 ]
Ninja Gaiden,Tecmo,The unlockable NES arcade games cannot be played.,,,[ 5 ] [ 16 ]
Ninja Gaiden Black,Tecmo,This title is rendered at a slightly reduced speed on PAL-50 televisions. The game runs normally under PAL-60. The unlockable NES arcade game can't be played.,XO XBO,,[ 16 ] [ 17 ] [ 12 ]
