Title,Total players,Per console,Versus mode,Co-op mode,Notes
The Co-op Zombie Game (Indie),4,,,,source: mobygames.com
The Co-op Zombie Game 2 (Indie),4,,,,source: mobygames.com
The Darkness,8,1,,,
The Dishwasher: Dead Samurai,2,1,,,
The Orange Box (Team Fortress 2) [ 3 ],16,1,,,Team Fortress 2 only.
The Outfit,8,2,8,2,
The Price is Right: Decades,4,,,,source: mobygames.com
TimeShift,16,1,,,
Tom Clancy's Ghost Recon Advanced Warfighter,16,4,,2,Limited to first person mode when more than one player is using a console.
Tom Clancy's Ghost Recon Advanced Warfighter 2,16,4,,,Limited to first person mode when more than one player is using a console.
Tom Clancy's Ghost Recon: Future Soldier,16,1,2,4,2P local coop. 4P system link. 4 players can play splitscreen on two consoles for guerilla mode only. Local co-op play is limited to the Guerilla mode
Tom Clancy's HAWX,8,1,,,
Tom Clancy's HAWX 2,8,1,,,
Tom Clancy's Rainbow Six: Vegas,16,1,,,
Tom Clancy's Rainbow Six: Vegas 2,16,1,16,2,4 player coop for Terrorist Hunt mode. (2P Coop Campaign splitscreen or System Link) C
Tom Clancy's Splinter Cell: Chaos Theory,4,,,,source: mobygames.com
Tom Clancy's Splinter Cell: Conviction,2,1,,,
Tom Clancy's Splinter Cell: Double Agent,6,1,,,
Toy Soldiers: Cold War (Arcade),,,,,source: mobygames.com = Incorrect. 2P local split screen coop.
Turning Point: Fall of Liberty,8,,,,source: mobygames.com
Ultimate Dodgeball (Indie),2,,,,source: mobygames.com
Undertow (Arcade),16,2,16,2,
Unreal Tournament 3,16,2,,,Bots available for empty player slots.
Vancouver 2010 Winter Olympics,?,,,,source: found on XLink Kai
Viva Piñata: Trouble in Paradise,4,1,,,
Way of the Exploding Balls (Indie),2,,,,source: mobygames.com
Wordzy (Indie),2,,,,source: mobygames.com
World Series of Poker 2008: Battle for the Bracelets,21,1,21,
World Series Poker: Tournament of Champions,16,,,,source: mobygames.com
World War II: Pacific Conflicts,8,,,,source: mobygames.com
XCOM: Enemy Unknown,2,1,,,
XCOM: Enemy Within,2,1,,,
Xtreme Polygon (Indie),16,,,,source: mobygames.com
Zombie Defense Squad (Indie),4,,,,source: mobygames.com
