Title(s),Notes/Reasons,Developer,Publisher
"Big Comfy Couch, The","Licensed party video game based on a canadian TV show with the same name. First mentioned in 2011 by Unseen64 [ 127 ] ,the search for the game was picked up in 2018 by the Lost Media Wiki. In 2021 with help of YouTuber LSuperSonicQ, they found the game and one year later gameplay was published. [ 128 ] The game was cancelled cause other matters that prevented developing the game further. [ 129 ]",Genazea,
Biker Mice from Mars,"Licensed action racing game, released in 2006 for the PlayStation 2. An Xbox Version was announced for the end of 2006, but never saw the light of day. [ 130 ]",Creat Studio,The Game Factory
Black 9,"A third-person action game taking place in a dystopian future , with gameplay mechanics and setting in the vein of System Shock (1994). The game was in development for the PlayStation 2 , PC, and the original Xbox. Amid rumors of its cancellation in mid-2004 due to its developer, Taldren, facing financial difficulties, in June 2004, its publisher Majesco confirmed the game had been cancelled, and Taldren closed down shortly after. [ 131 ] [ 132 ]",Taldren,Majesco
Black & White: Next-Generation,Announced in September 2001 the game would be a console version of Black & White for Xbox and PlayStation 2. The game was shown at E3 2002 but cancelled afterwards. [ 133 ],Lionhead Studios,Electronic Arts
Black Sun,A 3rd person shooter developed in 2003. In 2005 the studio was merged with Backbone Entertainment and the game cancelled. [ 134 ],Collective Studios,
Blade of Darkness,"Also known as: Ultimate: Blade of Darkness Released as Severance: Blade of Darkness, the game is an action adventure game released in February 2001 for PC. An Xbox enhanced port directly by Rebel Act was in development, with working title Ultimate Blade of Darkness , but the project was scrapped during early stages due to poor sales of the original Windows version. [ 135 ] [ 136 ] The Xbox version was announced for Christmas 2002. [ 137 ]",Rebel Act Studios,Codemasters
Bladeball,Football / Soccer game with a similar concept as Deathrow. The game was in development in 2002 for Xbox and PC. The game was cancelled do to the work of the also cancelled game Dead Justice. [ 138 ],Cat Mother,
(b)Last,"An action game / beat ‘em up in a sci-fi / fantasy setting mixing together Lovecraft tales and the Matrix movies, with weird tentacle monsters, laser weapons, super powers and many different characters to interact with. It was planned to release on Xbox and PlayStation 2. [ 139 ] An developer speaks about the game. [ 140 ]",Quantic Dream,
Blood Bowl,First entrance of the Blood Bowl series announced in July 2004 [ 141 ] and later cancelled when the developer was bought by Gizmondo and went under. The IP was bought and the game released on the Xbox 360. [ 142 ],Warthog,
"Bloody Magic, The","also known as Dawn of Magic An RPG announced in 2003 for PC and Xbox with an estimated release date of 2004. [ 143 ] [ 144 ] In 2004 the title of the game was changed just to ""Bloody Magic"" The game released on PC in Russia in 2005 by 1C Company. HD Interactive should release the game in the rest of the world but the deal fell through. [ 145 ] [ 146 ] The game released in the rest of the world on PC in 2007 by Deep Silver and Atari under the name Dawn of Magic. The Xbox version never saw the light of day.",Sky Fallen Entertainment,1C Company / HD Interactive
Bloody Waters: Terror from the Deep,A similar game as Jaws Unleashed it was announced in September 2003 [ 147 ] and planned to release at the end of 2004 for PlayStation 2 and Xbox. A PC port was planned for 2005. [ 148 ] In 2007 Gameplay was shown by Unseen64. The game was cancelled at this point. [ 149 ],Pineapple Interactive,
Blue Stinger: Premium Cart,"An Action adventure game and follow-up of Dreamcast game Blue Stinger . Cancelled because creator Shinya Nishigaki died of a heart attack on February 14, 2004 and the Xbox's poor commercial performance in Japan. [ 150 ] [ 151 ]",Climax Graphics / Cavia Inc.,Cool Cool / Sega
Boomtown,Wild West themed 3rd person action shooter announced for PC and Xbox in 2003. The game was set in 1871 and includes historic figures like Billy the Kid and used the Unreal Warfare engine. It was scheduled for release in Q3 of 2003 [ 152 ] and then Q3 2004. [ 153 ] [ 154 ] [ 155 ] [ 156 ],LogicalVice Entertainment,
Breed,"A squad based, science-fiction game released in 2004 for Windows. The game was announced in 2001 for a release in 2002. [ 157 ] The release of the game was delayed multiple times and during that the Xbox version was cancelled. [ 158 ]",Brat Designs,cdv Software
Bruce Lee: Quest of the Dragon 2,Follow up to Bruce Lee: Quest of the Dragon. Game was cancelled after the first game flopped. [ 159 ],Ronin Entertainment,Universal Interactive
Bulletproof Monk,"Licensed game for the movie of the same name announced in March 2003 for PC, PlayStation 2, Xbox and GameCube. [ 160 ] In May 2003 a teaser was shown. [ 161 ] Mucky Foot Productions went defunct in November 2003 and the game was cancelled. [ 162 ]",Mucky Foot Productions,Empire Interactive
Bully,Xbox Version of released PlayStation 2 game. The Xbox version was announced in 2005. [ 163 ] The Xbox version of Bully was cancelled without an official reason.,Rockstar Vancouver,Rockstar Games
Burn Out Cop,"Planned for Xbox, PlayStation 2 and GameCube as an arcade action title inspired by Die Hard and other films. The game was cancelled when HotGen Studios was in financial troubles. [ 164 ] Two demos and a design document were shared online. [ 165 ] [ 166 ] [ 167 ] In 2016 the rights were sold back to the developers for £1.","Infinite Lives, HotGen Studios",Sega
Cabela's Alaskan Adventures,"10th year anniversary of Cabela's  video game franchise hunting game. It was released for Windows, Xbox 360 and PlayStation 2. A Xbox version was planned but never saw the light of day. [ 168 ]",Sand Grain Studios,Activision
Call of Cthulhu: Beyond the Mountains of Madness,One of three planned Call of Cthulhu games and the sequel of Call of Cthulhu: Dark Corners of the Earth. The game was announced in 2002 for Xbox and PC. [ 169 ] After the release of the first game Developer and Publisher Hip Games went defunct in 2006 following financial troubles. [ 170 ] [ 171 ],Headfirst Productions,Bethesda Softworks / Hip Games
Call of Cthulhu: Destiny's End,"One of three planned Call of Cthulhu games and the sequel of Call of Cthulhu: Dark Corners of the Earth. The game was announced in 2002 for Xbox, PlayStation 2 and PC with a planned release date of Q4 2004. [ 172 ] A Trailer of the game was shown to the public at E3 2005, with a planned release date of Spring 2006. [ 173 ] After the release of the first game Developer and Publisher Hip Games went defunct in 2006. [ 170 ] A playable demo from E3 2005 was found and published in June 2024. [ 174 ] [ 175 ]",Headfirst Productions,Hip Games
Call of Juarez,"Wild West first person shooter announced in 2004 under the name ""Lawman"" and released on PC and Xbox 360. At E3 2005 the name was changed. [ 176 ] The Xbox version was dropped in 2006 after the publishing deal with Ubisoft. [ 177 ]",Techland,Ubisoft
Call of the Dragonfly,A third person action game announced before the Xbox release for Xbox and PC. In 2001 a release for 2002 was announced. [ 178 ] Gameplay was published in June 2001. [ 179 ] The game was cancelled do to not finding a publisher. Lost Boys were sold shortly after and is today known as Guerrilla Games.,Lost Boys,
Campfire: Become Your Nightmare,Reverse survival horror game with an similar idea as the released Dead by Daylight . The game was announced in 2003 and planned to release in 2004. [ 180 ] A teaser and concept art was made public. [ 181 ] [ 182 ] The Rights to the game were sold first to Gamefederation and then to Nordic VFX in 2007 with a release date set to Halloween 2009. [ 183 ] [ 184 ],Daydream Software,
Campus,Similar game as Rockstars Bully. Planned to release on Xbox and PlayStation 2. [ 185 ],Ubisoft Montreal,
Capcom Generations,Made by the creators of The Big Comfy Couch and developed between late 2003 to 2004. Discovered during the search of that game. Screenshots were published by one of the creators. Cancelled do to lack of funds. [ 186 ],Genazea,Capcom
Captain Blood,This game is also known as Age of Pirates: Captain Blood Announced in 2003 for PC and in 2005 for Xbox with a 2006 release. [ 187 ] The game went through development hell. It was pushed to the Xbox 360 [ 188 ] and nearly finished by 2010. In July 2010 Playlogic went bankrupt and the title was cancelled. In 2020 a reboot of the game. A 1.0 Version was leaked in 2022 to GitHub. [ 189 ] The game was released on modern consoles on 6th May 2025.,"Akella, Playlogic",1C
Carmageddon 4 / Carmageddon TV,"Leaked in an financial report in 2003 and to be released in 2005 for Xbox, PlayStation 2 and PC, the game was put on hold in 2005 do to SCi merged with Eidos. [ 190 ] Gameplay of a prototype, concept artwork and screenshots found their way online. [ 191 ] [ 192 ]",Visual Sciences,2K Games /SCi
Carrera Golf,Cancelled for unknown reasons. Other then some concept art noting is known about the game. [ 193 ],Microsoft Games Studios,Microsoft
Cesium,An action adventure game with an asian fantasy setting. The game was cancelled in an early prototype state. [ 194 ],FASA Studio / Microsoft Games Studios,
Charlie Brown’s All-Stars,"Baseball video game with Peanuts license. Announced and advertised for a 2007 release on Xbox, PlayStation 2, Wii and PSP. [ 195 ] Some menu footage was made public. [ 196 ]",FarSight Studios,Namco Bandai
Cell Damage 2,Cancelled do to lack of publisher and money. [ 197 ],Pseudo Interactive,
Championship Manager 2007,,Beautiful Game Studios,Eidos Interactive
Chaos League,"Violent Medevil football variant game with RPG elements released in 2004 for Windows. Ports for Xbox, PlayStation 2, GameCube, DS, and PSP were planned but scrapped. [ 198 ]",Neko Entertainment / Cyanide Studios,Digital Jesters
Chariots: The First Olympics,"Ancient sports game set in 776 BC for the first olympic games announced in 2002 for Xbox and PlayStation 2. [ 199 ] In 2004 it was announced to release also on Mac, Windows and Linux. [ 200 ] The website of the game was shut down in mid 2007 and the game cancelled. [ 201 ]",Candella Software,
Charlie's Angels,"A video game adaption of the year 2000 film was announced for PlayStation 2 , GameCube , Game Boy Advance , PC platforms, and Xbox, though only the PS2 and GameCube versions ever released years later in 2003. [ 202 ] [ 203 ]",Ubisoft,Ubisoft
Chosen: The Legend Begins,Hack n slash game set in medieval China with 30 characters on screen at any time. It would have Xbox Live and DLC support. The game was shown at E3 2006 with a release date that same year but never seen again. [ 204 ],Terminal Reality,Keystone Game Studio (KGS)
Citizen Zero,Also known as Big World: Citizen Zero MMORPG in development from 1999 [ 205 ] and officially announced in 2003. [ 206 ] [ 207 ] In 2004 it was announced as an Xbox excluisive. [ 208 ] The following years it was shown to the public every now and then up to E3 2004. [ 209 ] [ 210 ] The game was cancelled in 2007 without a reason. [ 211 ],Micro Forte,Micro Forte
City of the Dead,"First-person shooter video game, based on George A. Romero's Living Dead series announced in Decemeber 2004 for a release in 2006 on Xbox PlayStation 2 and PC. [ 212 ] A Trailer was published on Official PS2 Magazine Demo Discs in Europe and gameplay shown at E3 2005. [ 213 ] [ 214 ] The game was cancelled do to the bankruptcy in 2005. [ 215 ]",Kuju Entertainment Ltd.,Hip Interactive
Close Combat: Red Phoenix,"RTS game announced in 2004 for Xbox, Windows and Mac with a planned release date in 2005. [ 216 ] The game is based on the book ""Red Phoenix"" by Larry Bond and based in modern day Korea. In 2005 Atomic Games was taken over by Destineer. [ 217 ] After that the game was planned to release in 2006. [ 218 ]",Atomic Games / Destineer,Take-Two / 2K Games
Club Football 2006,A Football simulation where many clubs got their own version of the game. In December 2004 Codemasters announced the cancellation of the 2006 installment do to the inability in attaining a sizeable foothold in a segment of the market. [ 219 ],Codemasters,Codemasters
Cocoto Kart Racer,FunRacer released on everything beside Xbox between 2005 and 2011. A prototype dated July 2004 was found in 2021. [ 220 ],Neko Entertainment,
Codename: Partisans,3rd person World War 2 game in development from 2003 onwards. First planned for Xbox and later for Xbox 360 and PC. [ 221 ],Yager,
Cold Winter,First person shooter announced in April 2003 for Xbox and PlayStation 2. [ 222 ] [ 223 ] By December 2003 the game was marketed as an PS2 exclusive. [ 224 ] [ 223 ] In the end only the PlayStation 2 Version was published in 2005.,Swordfish Studios,VU Games
College Basketball 2K2,"College Basketball game in the Sega 2K series planned for Spring 2002 for Xbox, PlayStation 2 and GameCube. [ 225 ] [ 226 ]",Visual Concepts,Sega
Comanche (4),Flight Simulator announced in October 2001 for a planned release in 2002. [ 227 ] Pictures of gameplay were published. [ 228 ] [ 229 ] After the announcement nothing more came out of it.,NovaLogic,NovaLogic
Conker: Gettin' Medieval,"After the release of Conker: Live & Reloaded (2005), the development team started work on an online third person shooter game in the Conker series, though it was cancelled before it was publicly announced. To promote the release of Rare Replay (2015), Rare released a video explaining the game's premise and showing some early concept art. [ 230 ]",Rare,Microsoft
Conquest 2:  The Vyrium Uprising,"RTS game that picks up 40 years after Conquest 2:  Frontier Wars. A trailer was published along side with the announcement in July 2004. [ 231 ] It was planned to release it on Xbox and PC. [ 232 ] In 2012, the producer of Conquest 2, Eric Peterson tried to revive the project with an Kickstarter campaign but failed to fund the project. [ 233 ]",Warthog Texas,
Contra Online,3D run & gun shooter with heavy use of online features on PlayStation 2 and Xbox. The game was cancelled early in development. [ 234 ] [ 235 ],,Konami
Crank the Weasel,"Announced at E3 2002 for Xbox, PlayStation 2 and GameCube, the game was going to a similar route then Conker, as an M rated platformer. [ 236 ] The game had a 1920 comic style. The game got cancelled In July 2003 do to not took of. [ 237 ] [ 238 ] A prototype was leaked in 2017. [ 239 ] [ 240 ]",Midway,Midway
Crash Dummy vs. the Evil D-Troit,"also known as C.I.D 925: An Ordinary Life or CID The Dummy An 2.5D Adventure game announced for Xbox, PlayStation 2, PSP and PC. [ 241 ] In October 2006 the Xbox version was cancelled and Wii and DS versions were announced. [ 242 ] The game released in 2009 for Wii, PS2 and PSP. A Remake of the game was published on IOS, Android and Nintendo Switch.",Twelve Games,Oxygen Games
Crash vs Spyro Racing (LTDemo),"Prototype of Spyro & Crash Racing game, found in 2023. [ 243 ]",LT Studios / Argonaut Software,
Crazy Car Championship,"Announced in January 2001 for PC, Xbox and PlayStation 2 the game was in development from June 2000 onwards. [ 244 ] In the game players could build their own cars from scratch and race them online in crossplay. [ 245 ] It was planned to release in early 2002. [ 246 ]",Synaptic Soup,
Crasy Taxi 2,"A GameCube and Xbox port of Crazy Taxi 2 (2001) was once reported to be in the planning stages in a 2001 IGN interview, but neither saw the light of day. [ 247 ]",Hitmaker,Sega
Creature Conflict: The Clan Wars,"Catoony turn-based tactical and real-time action game. Announced for PC and Xbox. [ 248 ] While the PC version released, the Xbox version was planned for to in September 2005 but never saw the light of day. [ 249 ]",Mithis Games,Cenega Publishing
Chrono  Resurrection,"For a full story, please read the Wikipedia Article Chrono Trigger  3D Remake-Fan Project, announced in 1999 for N64 and later for Xbox, PC and GameCube with a December 25, 2004 release date. A playable Demo was released. The game was cancelled on September 6, 2004, because of a  cease-and-desist letter from Square Enix. The game was highly praised by critics.",Resurrection Games,
Crushed Baseball 2004,"An arcade-style hardball title that empowered its players with superhuman abilities, crazy stunt-grabs, and other silly stuff announced in October 2002 for Xbox, PlayStation 2 and GameCube. [ 250 ] Cancelled in April 2003 do to legal disagreement between both developers. [ 251 ] It was planned to release the game in 2003. [ 252 ]",Griptonite Games / Amaze Entertainment,BAM! Entertainment
CTU: Marine Sharpshooter,First person shooter released on PC as a budget title in 2003. Version for PlayStation 2 and Xbox were planned but cancelled do to the bad reviews of the PC version. [ 253 ],Jarhead Games,Hip Games / Groove Games
Cthulhu: Delta Green,A Horror strategy Game planned to release on PC and Xbox that was in development from 2001 to 2003. The game was cancelled do to the development of the MMO Pirates Of The Burning Sea. [ 254 ],Flying Lab Software,
Cubix: Robots For Everyone Showdown,Licensed game for the Korean TV series. The game was released on PlayStation 2 and GameCube days after 3DO went bankrupt & defunct. [ 255 ] A Xbox version was planned but couldn't be released. [ 256 ] [ 257 ] [ 258 ] The right to the game might be in the hands of 3DOs ex-CEOs Trip Hawkins. [ 259 ],Blitz Games,3DO
Cy Girls,,,
"""CZ""",Unknown first person shooter. Screenshots of the game with a filename of CZ were send to Unseen64 in 2019. [ 260 ],,
